Uncovered,Power,Interference
3.0,30.215000000000003,195.0
3.0,30.155,216.0
273.0,0.0,0.0
273.0,0.0,0.0
3.0,30.155,216.0
92.0,10.003,0.0
92.0,10.003,0.0
9.0,20.2,111.0
8.0,30.083,125.0
22.0,20.055,54.0
23.0,10.1,0.0
21.0,20.08,44.0
53.0,10.015,0.0
7.0,30.095,178.0
5.0,30.143,157.0
8.0,30.083,125.0
34.0,10.04,0.0
53.0,10.015,0.0
7.0,30.143,140.0
18.0,20.115000000000002,67.0
22.0,20.055,54.0
11.0,20.14,99.0
12.0,20.14,87.0
21.0,20.08,44.0
14.0,20.08,85.0
21.0,20.055,76.0
34.0,10.04,0.0
4.0,30.155,188.0
6.0,30.143,150.0
3.0,30.215000000000003,195.0
6.0,30.203000000000003,143.0
15.0,20.14,68.0
16.0,20.08,74.0
19.0,20.055,104.0
11.0,20.14,99.0
5.0,30.143,157.0
5.0,30.203000000000003,152.0
13.0,20.115000000000002,109.0
19.0,20.055,104.0
4.0,30.215000000000003,186.0
7.0,30.143,140.0
16.0,20.08,74.0
6.0,30.203000000000003,143.0
9.0,20.2,111.0
5.0,30.118000000000002,180.0
6.0,30.095,183.0
14.0,20.08,85.0
6.0,30.095,183.0
13.0,20.115000000000002,109.0
6.0,30.143,150.0
12.0,20.14,87.0
5.0,30.118000000000002,180.0
4.0,30.155,188.0
21.0,20.055,76.0
4.0,30.215000000000003,186.0
5.0,30.203000000000003,152.0
7.0,30.095,178.0
18.0,20.115000000000002,67.0
15.0,20.14,68.0
23.0,10.1,0.0
11.0,20.14,99.0
273.0,0.0,0.0
11.0,20.14,99.0
11.0,20.14,99.0
14.0,20.08,85.0
5.0,30.143,157.0
6.0,30.095,183.0
22.0,20.055,54.0
3.0,30.215000000000003,195.0
273.0,0.0,0.0
14.0,20.08,85.0
273.0,0.0,0.0
3.0,30.155,216.0
12.0,20.14,87.0
13.0,20.115000000000002,109.0
19.0,20.055,104.0
273.0,0.0,0.0
11.0,20.14,99.0
16.0,20.08,74.0
273.0,0.0,0.0
14.0,20.08,85.0
273.0,0.0,0.0
92.0,10.003,0.0
7.0,30.143,140.0
273.0,0.0,0.0
18.0,20.115000000000002,67.0
92.0,10.003,0.0
5.0,30.203000000000003,152.0
6.0,30.203000000000003,143.0
23.0,10.1,0.0
6.0,30.203000000000003,143.0
273.0,0.0,0.0
273.0,0.0,0.0
22.0,20.055,54.0
3.0,30.215000000000003,195.0
7.0,30.095,178.0
12.0,20.14,87.0
23.0,10.1,0.0
273.0,0.0,0.0
7.0,30.095,178.0
4.0,30.215000000000003,186.0
3.0,30.155,216.0
14.0,20.08,85.0
15.0,20.14,68.0
4.0,30.215000000000003,186.0
53.0,10.015,0.0
14.0,20.08,85.0
273.0,0.0,0.0
14.0,20.08,85.0
16.0,20.08,74.0
273.0,0.0,0.0
18.0,20.115000000000002,67.0
273.0,0.0,0.0
7.0,30.095,178.0
9.0,20.2,111.0
34.0,10.04,0.0
14.0,20.08,85.0
3.0,30.155,216.0
13.0,20.115000000000002,109.0
14.0,20.08,85.0
21.0,20.055,76.0
13.0,20.115000000000002,109.0
7.0,30.095,178.0
14.0,20.08,85.0
9.0,20.2,111.0
273.0,0.0,0.0
13.0,20.115000000000002,109.0
22.0,20.055,54.0
273.0,0.0,0.0
12.0,20.14,87.0
14.0,20.08,85.0
22.0,20.055,54.0
34.0,10.04,0.0
4.0,30.155,188.0
9.0,20.2,111.0
92.0,10.003,0.0
273.0,0.0,0.0
22.0,20.055,54.0
15.0,20.14,68.0
273.0,0.0,0.0
6.0,30.095,183.0
7.0,30.095,178.0
8.0,30.083,125.0
273.0,0.0,0.0
273.0,0.0,0.0
53.0,10.015,0.0
23.0,10.1,0.0
19.0,20.055,104.0
8.0,30.083,125.0
6.0,30.143,150.0
11.0,20.14,99.0
14.0,20.08,85.0
273.0,0.0,0.0
6.0,30.143,150.0
22.0,20.055,54.0
34.0,10.04,0.0
34.0,10.04,0.0
21.0,20.055,76.0
53.0,10.015,0.0
5.0,30.203000000000003,152.0
3.0,30.155,216.0
6.0,30.143,150.0
13.0,20.115000000000002,109.0
6.0,30.143,150.0
23.0,10.1,0.0
3.0,30.155,216.0
16.0,20.08,74.0
8.0,30.083,125.0
273.0,0.0,0.0
11.0,20.14,99.0
13.0,20.115000000000002,109.0
6.0,30.143,150.0
273.0,0.0,0.0
16.0,20.08,74.0
92.0,10.003,0.0
4.0,30.155,188.0
273.0,0.0,0.0
8.0,30.083,125.0
21.0,20.08,44.0
18.0,20.115000000000002,67.0
18.0,20.115000000000002,67.0
16.0,20.08,74.0
11.0,20.14,99.0
34.0,10.04,0.0
4.0,30.155,188.0
19.0,20.055,104.0
14.0,20.08,85.0
14.0,20.08,85.0
3.0,30.155,216.0
34.0,10.04,0.0
18.0,20.115000000000002,67.0
21.0,20.08,44.0
6.0,30.143,150.0
14.0,20.08,85.0
273.0,0.0,0.0
8.0,30.083,125.0
6.0,30.095,183.0
13.0,20.115000000000002,109.0
15.0,20.14,68.0
4.0,30.155,188.0
