Uncovered,Power,Interference
34.0,10.04,0.0
92.0,10.003,0.0
23.0,10.1,0.0
53.0,10.015,0.0
23.0,10.1,0.0
92.0,10.003,0.0
34.0,10.04,0.0
92.0,10.003,0.0
92.0,10.003,0.0
23.0,10.1,0.0
23.0,10.1,0.0
34.0,10.04,0.0
16.0,20.08,74.0
23.0,10.1,0.0
92.0,10.003,0.0
23.0,10.1,0.0
8.0,30.118000000000002,210.0
8.0,40.086,178.0
23.0,10.1,0.0
23.0,10.1,0.0
53.0,10.015,0.0
53.0,10.015,0.0
23.0,10.1,0.0
53.0,10.015,0.0
23.0,10.1,0.0
20.0,20.055,86.0
23.0,10.1,0.0
92.0,10.003,0.0
53.0,10.015,0.0
34.0,10.04,0.0
34.0,10.04,0.0
9.0,20.2,111.0
23.0,10.1,0.0
17.0,20.14,71.0
34.0,10.04,0.0
92.0,10.003,0.0
23.0,10.1,0.0
34.0,10.04,0.0
92.0,10.003,0.0
92.0,10.003,0.0
22.0,20.055,54.0
19.0,20.055,104.0
53.0,10.015,0.0
53.0,10.015,0.0
53.0,10.015,0.0
8.0,30.215000000000003,181.0
23.0,10.1,0.0
53.0,10.015,0.0
23.0,10.1,0.0
53.0,10.015,0.0
23.0,10.1,0.0
23.0,10.1,0.0
23.0,10.1,0.0
92.0,10.003,0.0
34.0,10.04,0.0
20.0,20.055,86.0
53.0,10.015,0.0
23.0,10.1,0.0
34.0,10.04,0.0
92.0,10.003,0.0
53.0,10.015,0.0
92.0,10.003,0.0
23.0,10.1,0.0
53.0,10.015,0.0
92.0,10.003,0.0
23.0,10.1,0.0
23.0,10.1,0.0
6.0,30.119999999999997,223.0
23.0,10.1,0.0
34.0,10.04,0.0
92.0,10.003,0.0
23.0,10.1,0.0
19.0,20.055,104.0
3.0,40.230000000000004,230.0
92.0,10.003,0.0
92.0,10.003,0.0
20.0,20.055,86.0
23.0,10.1,0.0
23.0,10.1,0.0
92.0,10.003,0.0
53.0,10.015,0.0
23.0,10.1,0.0
23.0,10.1,0.0
23.0,10.1,0.0
92.0,10.003,0.0
34.0,10.04,0.0
18.0,20.115000000000002,67.0
23.0,10.1,0.0
23.0,10.1,0.0
23.0,10.1,0.0
5.0,40.146,179.0
53.0,10.015,0.0
23.0,10.1,0.0
53.0,10.015,0.0
34.0,10.04,0.0
23.0,10.1,0.0
34.0,10.04,0.0
3.0,50.295,214.0
23.0,10.1,0.0
34.0,10.04,0.0
34.0,10.04,0.0
23.0,10.1,0.0
34.0,10.04,0.0
92.0,10.003,0.0
92.0,10.003,0.0
23.0,10.1,0.0
23.0,10.1,0.0
23.0,10.1,0.0
19.0,20.055,104.0
34.0,10.04,0.0
23.0,10.1,0.0
92.0,10.003,0.0
53.0,10.015,0.0
21.0,20.08,44.0
7.0,30.155,216.0
92.0,10.003,0.0
23.0,10.1,0.0
19.0,20.055,104.0
13.0,20.115000000000002,123.0
9.0,20.2,111.0
34.0,10.04,0.0
92.0,10.003,0.0
23.0,10.1,0.0
92.0,10.003,0.0
34.0,10.04,0.0
34.0,10.04,0.0
92.0,10.003,0.0
23.0,10.1,0.0
23.0,10.1,0.0
34.0,10.04,0.0
34.0,10.04,0.0
3.0,40.255,215.0
23.0,10.1,0.0
34.0,10.04,0.0
8.0,30.18,183.0
23.0,10.1,0.0
23.0,10.1,0.0
92.0,10.003,0.0
34.0,10.04,0.0
23.0,10.1,0.0
34.0,10.04,0.0
53.0,10.015,0.0
92.0,10.003,0.0
5.0,30.24,228.0
34.0,10.04,0.0
53.0,10.015,0.0
34.0,10.04,0.0
23.0,10.1,0.0
23.0,10.1,0.0
92.0,10.003,0.0
34.0,10.04,0.0
12.0,20.14,97.0
92.0,10.003,0.0
23.0,10.1,0.0
23.0,10.1,0.0
92.0,10.003,0.0
92.0,10.003,0.0
92.0,10.003,0.0
34.0,10.04,0.0
19.0,20.08,85.0
16.0,20.08,95.0
16.0,20.08,95.0
19.0,20.103,81.0
19.0,20.103,81.0
19.0,20.103,81.0
8.0,30.143,211.0
17.0,20.14,74.0
22.0,20.055,63.0
6.0,30.240000000000002,224.0
6.0,30.18,228.0
3.0,40.254999999999995,245.0
4.0,40.230000000000004,231.0
21.0,20.055,89.0
21.0,20.055,89.0
18.0,20.115000000000002,89.0
6.0,40.158,214.0
6.0,40.255,213.0
6.0,60.202999999999996,199.0
7.0,60.189,200.0
5.0,40.183,221.0
7.0,40.339999999999996,208.0
5.0,70.20400000000001,205.0
5.0,40.17,223.0
5.0,40.218,216.0
21.0,20.115000000000002,70.0
21.0,20.103,72.0
21.0,20.115000000000002,70.0
7.0,30.24,219.0
7.0,30.215000000000003,221.0
9.0,20.2,119.0
3.0,50.258,233.0
4.0,50.198,227.0
3.0,40.255,238.0
4.0,60.201,223.0
8.0,30.215000000000003,184.0
5.0,30.240000000000002,235.0
5.0,40.135,228.0
5.0,30.299999999999997,232.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
57.0,10.015,0.0
14.0,30.058,114.0
13.0,20.14,120.0
14.0,20.14,115.0
14.0,20.14,115.0
25.0,20.043,62.0
30.0,10.1,0.0
30.0,10.1,0.0
29.0,20.043,58.0
23.0,20.08,47.0
27.0,20.055,59.0
30.0,10.1,0.0
30.0,10.1,0.0
23.0,20.08,47.0
26.0,20.115000000000002,43.0
30.0,10.1,0.0
30.0,10.1,0.0
25.0,20.043,62.0
30.0,10.1,0.0
30.0,10.1,0.0
30.0,10.1,0.0
30.0,10.1,0.0
26.0,20.115000000000002,43.0
30.0,10.1,0.0
30.0,10.1,0.0
30.0,10.1,0.0
29.0,20.055,48.0
30.0,10.1,0.0
30.0,10.1,0.0
30.0,10.1,0.0
30.0,10.1,0.0
30.0,10.1,0.0
30.0,10.1,0.0
30.0,10.1,0.0
30.0,10.1,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
101.0,10.003,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
37.0,10.04,0.0
17.0,20.115000000000002,97.0
19.0,20.08,95.0
16.0,20.2,105.0
18.0,20.08,161.0
19.0,20.103,82.0
19.0,20.103,82.0
8.0,30.18,213.0
8.0,30.155,214.0
19.0,20.14,81.0
19.0,20.14,81.0
7.0,30.203000000000003,229.0
7.0,30.18,230.0
4.0,40.243,231.0
21.0,20.08,89.0
24.0,20.055,120.0
24.0,20.055,120.0
22.0,20.055,121.0
21.0,20.055,150.0
21.0,20.08,89.0
21.0,20.08,89.0
7.0,40.158,217.0
6.0,40.195,220.0
5.0,40.195,222.0
7.0,50.161,210.0
6.0,40.17,225.0
5.0,40.183,223.0
6.0,50.233000000000004,218.0
21.0,20.14,71.0
7.0,40.098,223.0
7.0,40.11,221.0
10.0,30.07,171.0
9.0,30.119999999999997,230.0
10.0,30.143,135.0
9.0,30.203000000000003,149.0
9.0,30.155,187.0
12.0,20.2,232.0
3.0,60.225,237.0
3.0,70.26400000000001,236.0
3.0,40.4,239.0
3.0,40.28,254.0
3.0,60.188,238.0
3.0,40.34,242.0
8.0,30.299999999999997,208.0
8.0,40.4,194.0
8.0,40.17,203.0
6.0,40.158,232.0
6.0,40.158,232.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
60.0,10.015,0.0
13.0,20.2,143.0
15.0,20.14,115.0
14.0,20.14,145.0
14.0,30.118000000000002,128.0
14.0,20.2,136.0
14.0,20.14,145.0
14.0,20.14,145.0
23.0,20.115000000000002,52.0
23.0,20.103,69.0
24.0,20.08,57.0
25.0,20.043,77.0
27.0,20.055,66.0
26.0,20.043,68.0
29.0,20.103,53.0
29.0,20.08,56.0
29.0,20.055,57.0
35.0,10.1,0.0
35.0,10.1,0.0
35.0,10.1,0.0
31.0,20.03,70.0
35.0,10.1,0.0
35.0,10.1,0.0
35.0,10.1,0.0
35.0,10.1,0.0
